a,budget,seed,final_solved,cross_step,w2_abs,R_cert
1.4,8000,19,True,1407,3.503881371810615,0.22560072302516287
1.4,8000,20,True,2290,3.963091133315617,0.2551673787485007
1.4,8000,22,True,2451,3.5615790492486123,0.22931564267158872
1.4,8000,23,True,2116,3.898638891722402,0.2510175600871149
1.4,8000,24,True,2091,3.9644782785563857,0.2552566914095331
1.4,8000,25,True,3184,4.112203156147589,0.2647680976636089
1.4,8000,26,True,2821,3.902446330579183,0.25126270564651493
1.4,8000,27,True,2142,3.6897187598754257,0.23756603938827492
1.4,8000,28,True,2138,4.069508780850017,0.2620191798452917
1.4,8000,29,True,6372,3.679239165368189,0.236891300763599
1.4,8000,30,True,1808,3.9063408207220944,0.25151345608547776
1.4,8000,31,True,1340,3.841625454281558,0.24734669588141325
1.4,8000,32,True,1995,3.998542143614191,0.2574499256462565
1.4,8000,33,True,1767,3.843908727288916,0.24749370657802758
1.4,8000,34,True,1652,3.328632700983649,0.21431717125716107
1.4,8000,35,True,2522,3.749375186837066,0.24140707497923994
1.4,8000,36,True,1631,4.294425236428585,0.2765006390085514
1.4,8000,37,True,2965,3.486088111788646,0.22445508711459075
1.4,8000,38,True,1226,4.121907072606294,0.2653928935219596
1.4,8000,39,True,1373,3.7606021203840583,0.24212993173630193
1.4,16000,0,True,3224,3.4156728571061494,0.21992133420383986
1.4,16000,1,True,1726,3.657303396812029,0.2354789455148752
1.4,16000,2,True,1193,3.494081011971155,0.2249697175683353
1.4,16000,3,True,2147,4.095298931676713,0.2636797031496021
1.4,16000,5,True,1610,3.74233918599456,0.24095405539642947
1.4,16000,6,True,4081,3.37486867845492,0.21729411848808394
1.4,16000,7,True,1209,3.5954339258489085,0.23149542098840079
1.4,16000,9,True,1857,4.100389370710935,0.2640074558914258
1.4,16000,10,True,1345,3.734272606070859,0.24043468100271626
1.4,16000,11,True,3236,3.823957787305614,0.24620914639814376
1.4,16000,12,True,1246,3.407548218264989,0.21939822163169906
1.4,16000,13,True,3468,3.998058350592434,0.25741877617402237
1.4,16000,14,True,3726,3.416280664281972,0.21996046844492137
1.4,16000,15,True,2088,3.560584684005371,0.22925161952296527
1.4,16000,16,True,3470,3.575266905705659,0.23019694828262277
1.4,16000,18,True,1703,3.768820213337192,0.24265906144001587
1.4,16000,19,True,1407,3.503881371810615,0.22560072302516287
1.4,16000,20,True,2290,3.963091133315617,0.2551673787485007
1.4,16000,21,True,8040,3.8713011058473534,0.2492573908334021
1.4,16000,22,True,2451,3.5615790492486123,0.22931564267158872
1.4,16000,23,True,2116,3.898638891722402,0.2510175600871149
1.4,16000,24,True,2091,3.9644782785563857,0.2552566914095331
1.4,16000,25,True,3184,4.112203156147589,0.2647680976636089
1.4,16000,26,True,2821,3.902446330579183,0.25126270564651493
1.4,16000,27,True,2142,3.6897187598754257,0.23756603938827492
1.4,16000,28,True,2138,4.069508780850017,0.2620191798452917
1.4,16000,29,True,6372,3.679239165368189,0.236891300763599
1.4,16000,30,True,1808,3.9063408207220944,0.25151345608547776
1.4,16000,31,True,1340,3.841625454281558,0.24734669588141325
1.4,16000,32,True,1995,3.998542143614191,0.2574499256462565
1.4,16000,33,True,1767,3.843908727288916,0.24749370657802758
1.4,16000,34,True,1652,3.328632700983649,0.21431717125716107
1.4,16000,35,True,2522,3.749375186837066,0.24140707497923994
1.4,16000,36,True,1631,4.294425236428585,0.2765006390085514
1.4,16000,37,True,2965,3.486088111788646,0.22445508711459075
1.4,16000,38,True,1226,4.121907072606294,0.2653928935219596
1.4,16000,39,True,1373,3.7606021203840583,0.24212993173630193
1.4,32000,0,True,3224,3.4156728571061494,0.21992133420383986
1.4,32000,1,True,1726,3.657303396812029,0.2354789455148752
1.4,32000,2,True,1193,3.494081011971155,0.2249697175683353
1.4,32000,3,True,2147,4.095298931676713,0.2636797031496021
1.4,32000,4,True,27545,3.1440111860384854,0.20243014003723508
1.4,32000,5,True,1610,3.74233918599456,0.24095405539642947
1.4,32000,6,True,4081,3.37486867845492,0.21729411848808394
1.4,32000,7,True,1209,3.5954339258489085,0.23149542098840079
1.4,32000,9,True,1857,4.100389370710935,0.2640074558914258
1.4,32000,10,True,1345,3.734272606070859,0.24043468100271626
1.4,32000,11,True,3236,3.823957787305614,0.24620914639814376
1.4,32000,12,True,1246,3.407548218264989,0.21939822163169906
1.4,32000,13,True,3468,3.998058350592434,0.25741877617402237
1.4,32000,14,True,3726,3.416280664281972,0.21996046844492137
1.4,32000,15,True,2088,3.560584684005371,0.22925161952296527
1.4,32000,16,True,3470,3.575266905705659,0.23019694828262277
1.4,32000,18,True,1703,3.768820213337192,0.24265906144001587
1.4,32000,19,True,1407,3.503881371810615,0.22560072302516287
1.4,32000,20,True,2290,3.963091133315617,0.2551673787485007
1.4,32000,21,True,8040,3.8713011058473534,0.2492573908334021
